id,title,description,priority,status,assignee,customer,created_at,tags,channel
TICK-1001,Unable to process credit card payment at checkout,"Users report getting error code ERR_PAY_502 when submitting payment details using Visa cards. Multiple customers affected.",Urgent,Open,Sarah Chen,Acme Corp (billing@acme.com),2026-08-28T08:15:00Z,"billing, payment, urgent",Portal
TICK-1002,SSO login redirect loop on Google Workspace,"After entering Google credentials, user is redirected back to the login prompt with no error message displayed.",High,In Progress,Alex Rivera,Globex Industries (it-support@globex.com),2026-08-28T09:30:00Z,"auth, sso, google",Portal
TICK-1003,Unable to process credit card payment at checkout,"Customers experiencing ERR_PAY_502 on Visa payment gateway. Urgent fix needed.",Urgent,Open,Sarah Chen,Acme Corp (support@acme.com),2026-08-28T09:45:00Z,"billing, payment",Email
TICK-1004,Request for audit logs export in CSV format,"Need monthly compliance audit logs exported for Q2 2026. Current UI only allows JSON export.",Low,Resolved,David Kim,Initech LLC (compliance@initech.com),2026-08-27T14:10:00Z,"audit, compliance, export",Email
TICK-1005,Dashboard metrics showing 0 for active sessions,"Real-time analytics widget has displayed zero active sessions since the 03:00 UTC deployment.",High,In Progress,Elena Rostova,Hooli (admin@hooli.com),2026-08-28T07:22:00Z,"analytics, dashboard, bug",Chat
TICK-1006,Password reset email not arriving in inbox,"Requested password reset three times, checked spam and quarantine folders. No email received.",Medium,Open,,Stark Dynamics (tony@stark.com),2026-08-28T10:05:00Z,"auth, email",Portal
TICK-1007,API rate limit exceeded unexpectedly on tier 3 plan,"Our enterprise tier should permit 5000 req/min but we are getting 429 errors at approximately 1200 req/min.",High,Open,Alex Rivera,Umbrella Pharma (devops@umbrella.org),2026-08-28T10:30:00Z,"api, rate-limit, enterprise",API
TICK-1008,Webhook delivery failures returning HTTP 504,"Downstream webhook endpoints are timing out during bulk inventory sync events.",Medium,Pending Customer,David Kim,Cyberdyne Systems (sysadmin@cyberdyne.io),2026-08-27T16:45:00Z,"webhook, integration",Email
TICK-1009,Password reset email not arriving in inbox,"Reset token emails are not being received. Checked spam folder.",Medium,Open,,Stark Dynamics (secops@stark.com),2026-08-28T10:40:00Z,"auth, email",Email
TICK-1010,Typo on invoice PDF footer text,"Company registration number has an extra digit printed in the footer of generated invoices.",Low,Resolved,Sarah Chen,Wayne Enterprises (accounts@wayne.org),2026-08-26T11:00:00Z,"invoice, pdf, cosmetic",Portal
TICK-1011,Slow page load times on reports view (over 12 seconds),"Generating the monthly team velocity report takes 12-15 seconds and frequently triggers gateway timeout.",Medium,In Progress,Elena Rostova,Pied Piper (richard@piedpiper.com),2026-08-28T06:50:00Z,"performance, reports",Portal
TICK-1012,Dark mode toggle resets upon page refresh,"User preference for dark theme is not persisting across session reloads or browser restarts.",Low,Open,,Massive Dynamic (ux@massivedynamic.com),2026-08-28T11:15:00Z,"ui, theme, preferences",Portal
TICK-1013,PDF export clips rightmost table column,"When exporting tabular reports containing more than 8 columns, the last column is truncated on A4 paper.",Low,Pending Customer,David Kim,Oscorp (lab-ops@oscorp.com),2026-08-27T13:20:00Z,"export, pdf, table",Email
TICK-1014,Database connection pool exhausted during peak traffic,"Worker nodes throwing connection pool timeout exception at 14:00 daily peak.",Urgent,In Progress,Elena Rostova,Soylent Corp (ops@soylent.com),2026-08-28T05:15:00Z,"database, infra, critical",Chat
TICK-1015,Cannot delete custom webhook configuration,"Clicking delete icon on webhook management modal does not fire API call and no error is logged.",Medium,Open,Alex Rivera,Veidt Enterprises (adrian@veidt.com),2026-08-28T08:45:00Z,"webhook, settings",Portal
TICK-1016,SSO login redirect loop on Google Workspace,"User cannot authenticate via Google Workspace; redirected in loop without error code.",High,Open,Alex Rivera,Globex Industries (helpdesk@globex.com),2026-08-28T11:30:00Z,"auth, sso",Email
TICK-1017,Two-factor authentication SMS delays in UK region,"Verification SMS codes are arriving 15 to 20 minutes late for +44 mobile numbers.",High,In Progress,Sarah Chen,Tyrell Corp (security@tyrell.co.uk),2026-08-28T09:10:00Z,"2fa, sms, uk",Phone
TICK-1018,Need documentation on SCIM provisioning integration,"Looking for setup guide and sample payloads for Azure AD SCIM user provisioning.",Low,Closed,David Kim,Aperture Science (glados@aperture.com),2026-08-25T15:00:00Z,"scim, azure, docs",Portal
TICK-1019,Billing invoice generated with incorrect VAT rate,"Our invoice #INV-8921 shows 22% VAT instead of 20% for UK business tax exemption.",Medium,Open,Sarah Chen,Weyland-Yutani (finance@weyland.com),2026-08-28T10:15:00Z,"billing, tax, vat",Email
TICK-1020,CSV import crashes when file contains emoji in notes,"Import tool fails with character encoding error if customer feedback contains unicode emojis.",Medium,Open,,Omni Consumer Products (qa@ocp.com),2026-08-28T11:45:00Z,"import, encoding, csv",Portal
